StaffId;Executive;Manager;Coach;Scout;Trainer;Off Pref;Phy Pref;Line Matching;Goalie Handling;Favor Veterans;Innovation;Loyalty;Coaching G;Coaching Defense;Coaching Forwards;Coaching Prospects;Def Skills;Off Skills;Phy Training;Player Management;Motivation;Discipline;Negotiating;Self-Preservation;Tactics;Ingame Tactics;Trainer Skill;Evaluate Abilities;Evaluate Potential
18;10;10;20;20;1;Offensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;15;15;11;16;13;16;14;12;12;10;13;14;13;0;;13;11
19;1;12;20;20;1;Standard;Balanced;Balanced;Aggressive;Prefers Veterans;Conservative;Very Ruthless;14;15;16;13;16;15;17;13;15;17;10;15;16;16;0;;14;10
20;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;11;16;13;14;15;12;15;11;8;10;11;14;14;0;;14;12
21;1;11;20;20;1;Defensive;Physical;Aggressive;Balanced;Prefers Veterans;Conservative;Ruthless;14;14;17;13;16;17;15;14;17;17;11;14;17;17;0;;16;12
22;1;18;20;20;1;Very Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;15;18;14;13;18;12;17;16;15;17;12;14;16;14;0;;14;12
23;1;15;20;20;1;Standard;Physical;Passive;Aggressive;Balanced;Balanced;Balanced;15;14;16;15;14;16;16;13;15;14;11;14;14;15;0;;16;14
24;20;20;20;16;1;Defensive;Physical;Aggressive;Aggressive;Prefers Veterans;Conservative;Balanced;11;16;15;11;18;12;15;18;16;17;14;17;15;16;0;;15;11
25;1;10;20;15;1;Defensive;Balanced;Balanced;Aggressive;Prefers Prospects;Very Innovative;Ruthless;14;15;15;16;17;13;17;15;12;13;9;8;15;15;0;;14;12
26;1;10;20;15;1;Defensive;Physical;Aggressive;Conservative;Prefers Veterans;Conservative;Balanced;13;16;13;12;16;13;16;15;10;13;13;11;15;15;0;;15;12
27;1;11;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;16;16;15;17;14;14;16;16;13;10;15;16;16;0;;16;14
28;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;15;12;10;10;10;14;10;10;13;10;12;10;0;;18;14
29;20;20;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;13;6;11;6;14;14;7;10;10;10;10;10;10;0;;8;9
30;20;20;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;14;8;11;11;8;7;10;10;9;10;10;10;0;;8;9
31;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;7;14;11;8;11;15;7;10;10;8;10;10;10;0;;12;15
32;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;6;6;12;13;8;8;7;10;10;9;10;10;10;0;;10;8
33;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;12;15;13;8;10;6;10;10;10;10;10;10;0;;9;8
34;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;9;13;8;10;12;14;14;10;10;12;10;10;10;0;;7;11
35;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;13;10;9;9;12;9;10;10;11;10;10;10;0;;7;6
36;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;8;6;9;12;11;8;7;10;10;8;10;10;10;0;;10;12
37;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;13;8;8;10;10;13;11;10;10;10;10;10;10;0;;10;15
38;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;9;7;13;12;12;14;9;10;10;14;10;10;10;0;;13;8
39;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Very Loyal;7;13;13;12;12;7;6;10;10;10;13;10;10;10;0;;14;12
40;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;7;13;14;7;9;13;8;10;10;8;10;10;10;0;;14;14
41;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;13;13;9;14;13;13;13;10;10;7;10;10;10;0;;7;9
42;20;20;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;10;9;10;9;8;14;10;10;10;13;10;10;10;0;;7;7
43;20;15;5;5;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;14;10;8;6;6;15;6;10;10;12;10;10;10;0;;7;11
44;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;14;6;13;6;11;8;7;10;10;15;10;10;10;0;;7;7
45;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;11;10;10;10;0;;11;7
46;10;10;20;20;1;Defensive;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;13;14;12;12;12;14;12;12;11;12;13;12;0;;10;10
47;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;8;10;9;8;13;11;12;13;12;7;11;13;12;1;;8;10
48;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;14;10;14;10;12;10;12;10;11;10;9;11;11;0;;12;10
49;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;6;14;14;7;10;10;11;12;12;11;11;13;13;0;;12;12
50;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;7;13;11;10;10;10;14;11;11;10;10;13;12;0;;10;10
51;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;14;12;11;12;13;14;14;11;10;12;13;13;0;;12;12
52;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;14;9;11;12;10;13;12;13;11;11;14;12;0;;13;12
53;10;10;20;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;16;12;14;15;11;17;15;12;14;10;14;13;13;0;;15;12
54;10;10;20;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;1;11;13;12;11;13;10;12;10;10;10;10;11;11;0;;10;10
55;20;20;20;20;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;12;8;13;13;10;12;10;10;11;10;10;10;0;;12;12
56;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;14;12;15;13;11;10;12;13;10;10;10;12;12;0;;12;15
57;20;20;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;12;10;13;12;10;10;12;10;10;10;10;10;10;0;;10;10
58;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;5;9;11;11;10;11;10;6;10;10;12;10;10;10;0;;13;12
59;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;12;10;14;12;10;10;10;10;10;10;10;10;10;0;;10;10
60;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;11;15;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
61;10;10;20;20;1;Very Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;5;5;14;10;10;10;10;10;10;10;10;10;10;0;;10;10
62;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;11;10;10;10;0;;10;15
63;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;12;10;11;12;11;8;13;10;10;12;10;10;10;0;;8;13
64;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;8;13;6;8;11;14;12;10;10;9;10;10;10;0;;9;12
65;20;20;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;11;6;12;13;11;9;11;10;10;6;10;10;10;0;;13;7
66;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;1;10;12;14;10;12;10;10;10;10;10;10;10;10;0;;11;13
67;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Prefers Veterans;Balanced;Balanced;4;12;9;12;11;10;10;10;12;12;10;12;13;13;0;;10;11
68;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;12;13;11;13;13;10;10;10;6;10;10;10;0;;8;10
69;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;5;7;10;11;13;12;13;12;10;10;8;10;10;10;0;;9;7
70;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;10;14;8;6;11;8;15;10;10;15;10;10;10;0;;14;6
71;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;8;14;9;6;8;13;9;10;10;12;10;10;10;0;;10;8
72;20;20;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;14;13;11;13;14;8;9;10;10;13;10;10;10;0;;8;15
73;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;13;10;6;14;12;14;13;10;10;8;10;10;10;0;;15;12
74;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;15;14;8;13;9;15;14;10;10;13;10;10;10;0;;12;6
75;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;6;15;13;8;12;12;13;10;10;10;10;10;10;0;;6;10
76;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;7;7;6;13;15;8;10;10;12;10;10;10;0;;13;15
77;20;15;5;5;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;14;15;9;8;6;8;15;10;10;7;10;10;10;0;;14;7
78;10;10;15;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;10;8;11;11;11;7;10;10;10;14;10;10;10;0;;12;8
79;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;14;9;10;13;8;7;8;10;10;14;10;10;10;0;;11;13
80;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;9;12;15;11;14;9;14;10;10;8;10;10;10;0;;6;7
81;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;9;15;13;12;10;7;10;10;10;7;10;10;10;0;;11;6
82;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;14;7;8;12;12;13;6;10;10;9;10;10;10;0;;11;11
83;20;15;5;5;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;13;15;8;14;10;12;9;10;10;9;10;10;10;0;;6;9
84;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;11;15;11;6;8;12;8;10;10;10;10;10;10;0;;15;11
85;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;11;6;14;15;12;13;6;10;10;7;10;10;10;0;;12;14
86;20;20;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;9;8;12;9;8;7;6;10;10;12;10;10;10;0;;7;10
87;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;12;12;11;13;12;7;9;10;10;15;10;10;10;0;;8;9
88;20;20;20;15;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;13;15;14;7;6;12;14;10;10;7;10;10;10;0;;12;6
89;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;10;7;7;14;6;15;6;10;10;8;10;10;10;0;;6;15
90;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;12;9;10;8;14;11;7;10;10;9;10;10;10;0;;6;14
91;20;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;10;7;11;11;10;14;15;10;10;13;10;10;10;0;;13;11
92;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;7;7;6;10;9;8;14;10;10;8;10;10;10;0;;9;7
93;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;6;11;10;10;12;12;10;10;10;10;10;10;10;0;;10;13
94;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;13;12;11;11;12;14;13;10;10;9;10;10;10;0;;8;12
95;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;9;7;11;13;15;12;9;10;10;13;10;10;10;0;;7;8
96;20;20;20;20;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;6;9;13;14;7;6;10;10;7;10;10;10;0;;10;14
97;20;20;20;20;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;7;10;8;13;6;13;10;10;9;10;10;10;0;;10;10
98;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;14;13;11;10;10;15;12;10;10;10;10;10;10;0;;6;14
99;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;15;6;7;6;14;8;14;10;10;14;10;10;10;0;;14;13
100;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;9;10;13;12;6;8;11;11;10;8;12;8;8;0;;11;10
101;10;10;20;20;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;13;10;6;9;6;11;13;10;10;11;10;10;10;0;;7;10
102;20;20;20;20;1;Very Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;6;13;11;10;6;7;10;10;6;10;10;10;0;;8;11
103;20;20;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;15;11;9;11;9;8;12;10;10;9;10;10;10;0;;14;12
104;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;10;10;6;14;15;14;14;10;10;13;10;10;10;0;;12;15
105;20;20;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;11;13;15;6;15;13;6;10;10;13;10;10;10;0;;15;11
106;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;7;12;13;12;11;7;7;10;10;10;10;10;10;0;;10;6
107;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;6;10;10;10;12;8;8;10;10;14;10;10;10;0;;11;12
108;20;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;9;9;8;15;14;9;10;10;6;10;10;10;0;;6;7
109;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;9;12;11;8;11;12;10;10;10;7;10;10;10;0;;12;10
110;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;6;13;6;10;6;15;9;10;10;15;10;10;10;0;;11;13
111;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;11;6;14;13;11;14;12;10;10;8;10;10;10;0;;12;7
112;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;8;6;11;15;6;10;7;10;10;9;10;10;10;0;;14;8
113;20;20;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Conservative;Very Loyal;11;6;13;15;13;14;8;8;11;12;12;11;9;10;0;;10;12
114;20;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;7;13;8;13;8;9;12;10;10;15;10;10;10;0;;8;9
115;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;14;9;9;13;15;14;14;10;10;11;10;10;10;0;;12;9
116;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;8;14;12;9;8;14;10;14;10;10;7;10;10;10;0;;13;13
117;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;15;15;10;14;8;13;7;10;10;7;10;10;10;0;;9;6
118;10;10;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;10;12;11;10;10;15;7;10;10;13;10;10;10;0;;15;6
119;10;10;20;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;11;13;9;9;7;6;9;13;10;10;11;10;10;10;0;;9;10
120;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;12;8;10;8;9;12;10;10;15;10;10;10;0;;6;11
121;20;20;20;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;14;14;6;9;13;7;15;10;10;10;10;10;10;0;;11;8
122;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;14;7;6;10;8;12;15;6;10;10;10;10;10;10;0;;9;14
123;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;6;11;12;15;6;15;6;14;10;10;13;10;10;10;0;;13;9
124;10;10;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;7;15;13;11;14;9;7;10;10;10;14;10;10;10;0;;12;14
125;20;20;10;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;11;12;9;10;8;12;10;13;15;15;17;15;9;9;0;;18;16
126;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;11;10;10;12;10;10;10;0;;10;10
127;20;20;13;20;1;Defensive;Physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;12;11;9;11;12;12;12;16;14;16;14;9;10;0;;16;14
128;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;14;9;6;14;10;10;7;10;10;9;10;10;10;0;;9;14
129;20;20;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;8;12;10;12;13;8;12;15;14;15;14;9;11;0;;15;13
130;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
131;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;9;12;10;11;13;11;11;14;13;12;15;14;11;11;0;;15;13
132;20;15;5;5;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
133;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;11;11;11;11;11;15;13;13;13;12;11;11;0;;14;12
134;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
135;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;11;8;11;12;9;12;12;16;15;16;16;8;8;0;;16;13
136;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
137;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;13;10;10;14;10;10;10;0;;9;11
138;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
139;20;20;20;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;13;12;11;10;10;10;14;9;8;15;11;9;10;0;;15;13
140;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
141;10;10;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;13;11;10;10;10;13;10;10;12;10;10;10;0;;15;13
142;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
143;20;20;12;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;13;10;11;12;12;12;14;12;16;17;18;9;12;0;;17;13
144;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
145;20;20;16;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;13;12;11;13;10;13;13;13;12;12;14;11;0;;14;12
146;1;12;20;20;1;Offensive;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;13;13;13;14;13;14;14;14;11;12;13;13;14;14;7;;14;12
147;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
148;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;11;12;10;11;12;10;12;15;16;15;15;11;11;0;;15;16
149;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
150;20;20;10;20;1;Very Defensive;Very Physical;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;11;11;11;11;11;15;13;14;15;12;10;10;0;;10;14
151;20;15;5;5;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
152;20;20;10;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;12;13;11;12;12;10;12;15;13;13;17;12;11;10;0;;15;13
153;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;11;10;10;10;0;;10;10
154;20;20;16;20;1;Standard;Non-physical;Balanced;Balanced;Balanced;Balanced;Balanced;14;15;11;12;15;11;15;12;11;15;13;16;14;14;0;;14;16
155;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
156;20;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;13;12;11;11;11;10;12;15;15;12;18;17;10;12;0;;18;16
157;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
158;20;20;10;20;1;Defensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;12;10;11;10;12;10;12;15;12;20;19;19;10;14;0;;18;16
159;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
160;20;20;10;20;1;Offensive;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;15;10;7;10;11;12;9;12;12;13;12;14;11;9;0;;14;13
161;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;12;10;10;10;0;;10;10
162;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;;10;10
163;20;20;10;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;12;12;11;10;10;10;15;10;10;14;10;10;10;0;;16;15
164;20;15;5;5;1;Standard;Balanced;Balanced;Balanced;Prefers Prospects;Balanced;Balanced;10;10;10;10;10;10;10;8;8;10;10;15;10;10;0;;10;10
165;10;18;15;20;1;Standard;Balanced;Balanced;Balanced;Balanced;Balanced;Balanced;10;10;12;10;10;10;10;14;10;10;13;10;14;10;0;;15;13
